fmt,is_fp,K,aca_window,energy_pJ,mult_pJ,add_pJ,med,rmse,nmed,max_abs,nrmse,rel_bias
INT8,False,5,,0.198438,0.114063,0.084375,1.048344e+00,1.061580e+00,1.292195e-01,1.453721e+00,1.292195e-01,-1.276084e-01
INT8,False,4,,0.209375,0.125000,0.084375,4.790128e-01,4.985310e-01,6.068308e-02,8.054910e-01,6.068308e-02,-5.830725e-02
INT8,False,3,,0.223438,0.139063,0.084375,2.059011e-01,2.348862e-01,2.859124e-02,5.239433e-01,2.859124e-02,-2.415267e-02
INT8,False,2,,0.240625,0.156250,0.084375,1.140987e-01,1.413651e-01,1.720750e-02,3.896672e-01,1.720750e-02,-8.401731e-03
INT8,False,1,,0.260938,0.176563,0.084375,9.831488e-02,1.224970e-01,1.491080e-02,3.811424e-01,1.491080e-02,-1.738017e-03
INT8,False,0,,0.284375,0.200000,0.084375,9.819848e-02,1.216308e-01,1.480537e-02,3.961906e-01,1.480537e-02,5.098357e-04
