K,agreement,logit_nrmse,energy_per_mac_pJ,energy_per_inference_pJ
0,1.0,0.0,0.30000000000000004,31430.400000000005
1,0.953125,0.16691075804629033,0.27656250000000004,28974.900000000005
2,0.828125,0.25473518146846463,0.25625,26846.8
3,0.75,0.4103458164150902,0.2390625,25046.100000000002
4,0.609375,0.5800759721826388,0.225,23572.8
5,0.484375,0.6435223814812172,0.21406250000000002,22426.9
6,0.421875,0.7758376881164396,0.20625000000000002,21608.4
