fmt,is_fp,K,aca_window,energy_pJ,mult_pJ,add_pJ,med,rmse,nmed,max_abs,nrmse,rel_bias
E4M3,True,4,,0.350000,0.150000,0.200000,9.633297e-01,1.318539e+00,1.604976e-01,5.383279e+00,1.604976e-01,-1.470136e-02
E4M3,True,3,,0.359375,0.159375,0.200000,8.723183e-01,1.205735e+00,1.467666e-01,5.383279e+00,1.467666e-01,-2.539023e-02
E4M3,True,2,,0.387500,0.187500,0.200000,8.252431e-01,1.122200e+00,1.365984e-01,4.601044e+00,1.365984e-01,-2.011554e-02
E4M3,True,0,,0.500000,0.300000,0.200000,8.123109e-01,1.109068e+00,1.349999e-01,4.601044e+00,1.349999e-01,-2.107918e-02
