fmt,K,rounding,nmed,rmse,bias,energy_pJ
E4M3,0,trunc,0.0,0.0,0.0,0.5
E4M3,1,trunc,1.750401088169643e-06,0.0069847092516495,-8.88671875e-05,0.434375
E4M3,2,trunc,1.7525809151785716e-06,0.00698484578775444,-8.88671875e-05,0.3875
E4M3,3,trunc,9.274074009486607e-06,0.016682906186443764,-0.00019873046875,0.359375
E4M3,4,trunc,2.4179731096540177e-05,0.0269159298098144,-0.00011474609375,0.35
E4M3,5,trunc,6.192561558314732e-05,0.05145907114506434,-0.00035791015625,0.359375
E4M3,6,trunc,0.00013440159388950892,0.09798549965219264,6.0546875e-05,0.3875
E4M3,0,round,0.0,0.0,0.0,0.5
E4M3,1,round,0.0,0.0,0.0,0.434375
E4M3,2,round,7.099696568080357e-06,0.014743571286737462,-0.0003388671875,0.3875
E4M3,3,round,7.110595703125e-06,0.015118688858747547,-0.0003310546875,0.359375
E4M3,4,round,1.2556893484933036e-05,0.019696202852309285,-0.00049658203125,0.35
E4M3,5,round,3.393881661551339e-05,0.033565306931513945,-0.00072119140625,0.359375
E4M3,6,round,7.152448381696428e-05,0.05722841227279198,-0.000947265625,0.3875
E5M2,0,trunc,0.0,0.0,0.0,0.43
E5M2,1,trunc,0.0,0.0,0.0,0.3605555555555555
E5M2,2,trunc,5.534717014857701e-08,0.018972877820020807,0.000314453125,0.3188888888888889
E5M2,3,trunc,3.147550991603307e-07,0.04947548407519726,0.00023193359375,0.305
E5M2,4,trunc,1.0069778987339565e-06,0.10551876888282886,0.0028603515625,0.3188888888888889
E5M2,5,trunc,2.8967325176511492e-06,0.2692858245901964,0.0029814453125,0.3605555555555555
E5M2,0,round,0.0,0.0,0.0,0.43
E5M2,1,round,0.0,0.0,0.0,0.3605555555555555
E5M2,2,round,1.2830325535365513e-07,0.03209478264830886,-0.000107421875,0.3188888888888889
E5M2,3,round,2.4291021483285084e-07,0.04453721658989611,-0.000679931640625,0.305
E5M2,4,round,5.571757044110979e-07,0.07152511353042057,-4.541015625e-05,0.3188888888888889
E5M2,5,round,1.2359278542654855e-06,0.15251262049748782,0.002259765625,0.3605555555555555
FP16,0,trunc,0.0,0.0,0.0,1.5
FP16,1,trunc,0.0,0.0,0.0,1.4045454545454548
FP16,2,trunc,0.0,0.0,0.0,1.3181818181818183
FP16,3,trunc,1.3976663161791646e-12,4.315837287515549e-06,9.1552734375e-08,1.240909090909091
FP16,4,trunc,1.4442551933851369e-11,2.5386516532086696e-05,5.79833984375e-07,1.1727272727272728
FP16,5,trunc,3.1913380886090925e-11,3.5706870552438364e-05,4.425048828125e-07,1.1136363636363638
FP16,6,trunc,4.9617154224360344e-11,4.095499916838574e-05,6.256103515625e-07,1.0636363636363637
FP16,0,round,0.0,0.0,0.0,1.5
FP16,1,round,0.0,0.0,0.0,1.4045454545454548
FP16,2,round,9.31777544119443e-13,3.8602022218852284e-06,6.103515625e-08,1.3181818181818183
FP16,3,round,6.988331580895823e-12,1.7794652999405826e-05,3.96728515625e-07,1.240909090909091
FP16,4,round,1.0715441757373595e-11,1.9204263577334317e-05,4.57763671875e-07,1.1727272727272728
FP16,5,round,2.748743755152357e-11,3.246932636296481e-05,1.068115234375e-06,1.1136363636363638
FP16,6,round,6.17302622979131e-11,4.898998137154257e-05,1.5411376953125e-06,1.0636363636363637
