fmt,is_fp,K,aca_window,energy_pJ,mult_pJ,add_pJ,med,rmse,nmed,max_abs,nrmse,rel_bias
FP16,True,7,,1.022727,0.622727,0.400000,1.003772e-02,2.697765e-02,3.283822e-03,2.638434e-01,3.283822e-03,1.228288e-04
FP16,True,6,,1.063636,0.663636,0.400000,9.975119e-03,2.692075e-02,3.276896e-03,2.638434e-01,3.276896e-03,1.295649e-04
FP16,True,5,,1.113636,0.713636,0.400000,1.014249e-02,2.675188e-02,3.256340e-03,2.638434e-01,3.256340e-03,1.042057e-04
FP16,True,4,,1.172727,0.772727,0.400000,9.999260e-03,2.667801e-02,3.247348e-03,2.638434e-01,3.247348e-03,1.184702e-04
