K,trunc_acc,round_acc
0,0.6990,0.6990
1,0.6990,0.6990
2,0.6990,0.6990
3,0.6990,0.6990
4,0.6990,0.6990
5,0.6990,0.6990
6,0.6985,0.6990
7,0.6870,0.6990
8,0.6035,0.6990
