fmt,is_fp,K,aca_window,energy_pJ,mult_pJ,add_pJ,med,rmse,nmed,max_abs
INT8,False,2,8,0.218750,0.156250,0.062500,1.044000e+00,1.547256e+00,6.472813e-05,3.000000e+00
INT8,False,2,4,0.212500,0.156250,0.056250,1.044000e+00,1.547256e+00,6.472813e-05,3.000000e+00
INT8,False,3,,0.239063,0.139063,0.100000,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,3,32,0.239063,0.139063,0.100000,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,3,16,0.214063,0.139063,0.075000,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,3,8,0.201563,0.139063,0.062500,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,3,4,0.195312,0.139063,0.056250,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,4,,0.225000,0.125000,0.100000,6.444000e+00,8.062878e+00,3.995288e-04,1.500000e+01
INT8,False,4,32,0.225000,0.125000,0.100000,6.444000e+00,8.062878e+00,3.995288e-04,1.500000e+01
INT8,False,4,16,0.200000,0.125000,0.075000,6.444000e+00,8.062878e+00,3.995288e-04,1.500000e+01
INT8,False,4,8,0.187500,0.125000,0.062500,6.444000e+00,8.062878e+00,3.995288e-04,1.500000e+01
INT8,False,4,4,0.181250,0.125000,0.056250,6.444000e+00,8.062878e+00,3.995288e-04,1.500000e+01
INT8,False,5,,0.214063,0.114063,0.100000,1.418800e+01,1.719494e+01,8.796578e-04,3.100000e+01
INT8,False,5,32,0.214063,0.114063,0.100000,1.418800e+01,1.719494e+01,8.796578e-04,3.100000e+01
INT8,False,5,16,0.189063,0.114063,0.075000,1.418800e+01,1.719494e+01,8.796578e-04,3.100000e+01
INT8,False,5,8,0.176563,0.114063,0.062500,1.418800e+01,1.719494e+01,8.796578e-04,3.100000e+01
INT8,False,5,4,0.170313,0.114063,0.056250,1.418800e+01,1.719494e+01,8.796578e-04,3.100000e+01
INT8,False,6,,0.206250,0.106250,0.100000,2.919600e+01,3.458719e+01,1.810156e-03,6.300000e+01
INT8,False,6,32,0.206250,0.106250,0.100000,2.919600e+01,3.458719e+01,1.810156e-03,6.300000e+01
INT8,False,6,16,0.181250,0.106250,0.075000,2.919600e+01,3.458719e+01,1.810156e-03,6.300000e+01
INT8,False,6,8,0.168750,0.106250,0.062500,2.919600e+01,3.458719e+01,1.810156e-03,6.300000e+01
INT8,False,6,4,0.162500,0.106250,0.056250,2.919600e+01,3.458719e+01,1.810156e-03,6.300000e+01
INT16,False,0,,0.900000,0.800000,0.100000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT16,False,0,32,0.900000,0.800000,0.100000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT16,False,0,16,0.875000,0.800000,0.075000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT16,False,0,8,0.862500,0.800000,0.062500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT16,False,0,4,0.856250,0.800000,0.056250,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT16,False,1,,0.851562,0.751563,0.100000,2.490000e-01,4.989990e-01,2.319135e-10,1.000000e+00
INT16,False,1,32,0.851562,0.751563,0.100000,2.490000e-01,4.989990e-01,2.319135e-10,1.000000e+00
INT16,False,1,16,0.826563,0.751563,0.075000,2.490000e-01,4.989990e-01,2.319135e-10,1.000000e+00
INT16,False,1,8,0.814063,0.751563,0.062500,2.490000e-01,4.989990e-01,2.319135e-10,1.000000e+00
INT16,False,1,4,0.807813,0.751563,0.056250,2.490000e-01,4.989990e-01,2.319135e-10,1.000000e+00
INT16,False,2,,0.806250,0.706250,0.100000,1.005000e+00,1.508973e+00,9.360363e-10,3.000000e+00
INT16,False,2,32,0.806250,0.706250,0.100000,1.005000e+00,1.508973e+00,9.360363e-10,3.000000e+00
INT16,False,2,16,0.781250,0.706250,0.075000,1.005000e+00,1.508973e+00,9.360363e-10,3.000000e+00
INT16,False,2,8,0.768750,0.706250,0.062500,1.005000e+00,1.508973e+00,9.360363e-10,3.000000e+00
INT16,False,2,4,0.762500,0.706250,0.056250,1.005000e+00,1.508973e+00,9.360363e-10,3.000000e+00
INT16,False,3,,0.764062,0.664062,0.100000,2.681000e+00,3.598472e+00,2.497028e-09,7.000000e+00
INT16,False,3,32,0.764062,0.664062,0.100000,2.681000e+00,3.598472e+00,2.497028e-09,7.000000e+00
INT16,False,3,16,0.739062,0.664062,0.075000,2.681000e+00,3.598472e+00,2.497028e-09,7.000000e+00
INT16,False,3,8,0.726562,0.664062,0.062500,2.681000e+00,3.598472e+00,2.497028e-09,7.000000e+00
INT16,False,3,4,0.720313,0.664062,0.056250,2.681000e+00,3.598472e+00,2.497028e-09,7.000000e+00
INT16,False,4,,0.725000,0.625000,0.100000,6.513000e+00,8.144016e+00,6.066074e-09,1.500000e+01
INT16,False,4,32,0.725000,0.625000,0.100000,6.513000e+00,8.144016e+00,6.066074e-09,1.500000e+01
INT16,False,4,16,0.700000,0.625000,0.075000,6.513000e+00,8.144016e+00,6.066074e-09,1.500000e+01
INT16,False,4,8,0.687500,0.625000,0.062500,6.513000e+00,8.144016e+00,6.066074e-09,1.500000e+01
INT16,False,4,4,0.681250,0.625000,0.056250,6.513000e+00,8.144016e+00,6.066074e-09,1.500000e+01
INT16,False,5,,0.689063,0.589063,0.100000,1.444900e+01,1.732758e+01,1.345750e-08,3.100000e+01
INT16,False,5,32,0.689063,0.589063,0.100000,1.444900e+01,1.732758e+01,1.345750e-08,3.100000e+01
INT16,False,5,16,0.664062,0.589063,0.075000,1.444900e+01,1.732758e+01,1.345750e-08,3.100000e+01
INT16,False,5,8,0.651563,0.589063,0.062500,1.444900e+01,1.732758e+01,1.345750e-08,3.100000e+01
INT16,False,5,4,0.645313,0.589063,0.056250,1.444900e+01,1.732758e+01,1.345750e-08,3.100000e+01
INT16,False,6,,0.656250,0.556250,0.100000,3.051300e+01,3.591931e+01,2.841918e-08,6.300000e+01
INT16,False,6,32,0.656250,0.556250,0.100000,3.051300e+01,3.591931e+01,2.841918e-08,6.300000e+01
INT16,False,6,16,0.631250,0.556250,0.075000,3.051300e+01,3.591931e+01,2.841918e-08,6.300000e+01
INT16,False,6,8,0.618750,0.556250,0.062500,3.051300e+01,3.591931e+01,2.841918e-08,6.300000e+01
INT16,False,6,4,0.612500,0.556250,0.056250,3.051300e+01,3.591931e+01,2.841918e-08,6.300000e+01
