fmt,is_fp,K,aca_window,energy_pJ,mult_pJ,add_pJ,med,rmse,nmed,max_abs,nrmse,rel_bias
INT4,False,1,,0.098438,0.039062,0.059375,6.223277e+00,6.724871e+00,8.185768e-01,1.296216e+01,8.185768e-01,-7.558200e-01
INT4,False,0,,0.109375,0.050000,0.059375,1.742541e+00,2.185426e+00,2.660183e-01,6.077583e+00,2.660183e-01,-8.488706e-03
